OBJECTID,SITE_NO,geo_point_2d
45821,2660,"-37.8089988290805, 144.84813295768797"
45822,299,"-38.35608183592346, 144.90247788766473"
45823,3543,"-37.84030083501033, 144.93325493939494"
45835,2147,"-37.65533583490474, 144.9533629560616"
45862,105,"-37.81609685264188, 145.202056895173"
45893,2597,"-37.69342882192496, 144.7566059855078"
45903,506,"-38.06526486116508, 145.29912984987058"
45904,1066,"-37.814979835179656, 144.94501193935125"
45905,1065,"-37.81709783604173, 144.95008093805794"
45911,5217,"-38.18113279999387, 144.38945799717723"
45915,6631,"-38.20394091693585, 146.06767470019827"
45917,4736,"-37.654701839259054, 145.0217819435229"
45923,3715,"-38.007166847203706, 145.10399689106967"
45925,160,"-37.88292985965535, 145.29566687121348"
45927,6090,"-36.40071285756149, 145.39529501558783"
45936,1232,"-37.882093838494946, 144.9815729257883"
45938,540,"-37.921474852002476, 145.1741918881415"
45939,2110,"-37.794534838598025, 144.98972193374865"
45943,4432,"-37.758345832141, 144.9068559528075"
45946,4656,"-37.750934823386295, 144.777972975849"
45948,4795,"-37.720002840289006, 145.0211549370023"
45972,4767,"-37.85501784007919, 145.01700192248734"
46008,4935,"-37.76035882623043, 144.81214496881347"
46043,574,"-37.79884184874334, 145.14217090736818"
46049,6205,"-36.749765784693196, 144.2907581624363"
46050,6206,"-34.183643638021344, 142.1645187380455"
46051,5823,"-37.56824476064499, 143.83746815798835"
46058,4184,"-37.7129398415368, 145.04600193315443"
46073,4199,"-37.765105832687595, 144.90574795150476"
46083,4128,"-37.740157836547716, 144.96680394411302"
46096,4142,"-37.80658083834676, 144.98608193315064"
46105,4336,"-37.801255841725876, 145.04612392335721"
46121,4289,"-37.82086584064767, 145.02082692603574"
46137,5655,"-37.826049033669086, 147.63020247580855"
46141,5806,"-37.55806376395118, 143.89183514904488"
46173,6146,"-36.10922796353797, 146.86993580883177"
46186,5841,"-37.28375770256753, 142.93017434191393"
46188,5875,"-37.559453761400306, 143.85521515507244"
46197,444,"-37.93824485070844, 145.15481288976702"
46199,3293,"-37.894368842867344, 145.04590891347755"
46204,5253,"-37.901900816994896, 144.66289597980887"
46218,4920,"-37.82182683631946, 144.96582493574397"
46221,4923,"-37.82337783657034, 144.96603993492448"
46232,2924,"-37.81174183648924, 144.95645193811484"
46234,2926,"-37.81339683588919, 144.95155293851562"
46242,2867,"-37.70906483078237, 144.88735296110053"
46256,2685,"-37.80916282915489, 144.85150795611563"
46263,3134,"-37.82524584763877, 145.12248390756662"
46271,4453,"-37.816367837713905, 144.98519293223416"
46275,4462,"-37.790587834729905, 144.9436759429627"
46291,3121,"-37.82197984305603, 145.06343491836662"
46319,4310,"-37.73643883069629, 144.89013695730023"
46328,4322,"-37.79478784334976, 145.0609739220338"
46335,4959,"-37.785358826996365, 144.82734296370015"
46337,4962,"-37.752578823863566, 144.77768597557912"
46340,4234,"-37.803967832306164, 144.8974139486007"
46354,2882,"-37.82705982888383, 144.84893395492634"
46358,2888,"-37.8216198340429, 144.93071994153334"
46359,2775,"-37.650650839827776, 145.02969994261207"
46366,2782,"-37.79819783225124, 144.90372094811443"
46370,2820,"-37.79295184099062, 145.03152792746863"
46372,2823,"-37.7894878407223, 145.02612792890565"
46380,2351,"-37.89229683917947, 144.99546092232703"
46389,1045,"-37.82168583629199, 144.95536393671168"
46412,2321,"-37.92068184148571, 145.02232391447617"
46413,2322,"-37.932992842462006, 145.03437991161258"
46423,4941,"-37.77891183098592, 144.88488095373813"
46427,4945,"-37.78446282684128, 144.82748296327804"
46431,4949,"-37.79283782930848, 144.8632819565352"
46433,4951,"-37.79953382912367, 144.86211295628345"
46453,6021,"-36.54975790135367, 145.99221390153912"
46454,6047,"-36.75593187201214, 145.5714879486412"
46456,3228,"-37.69995583927984, 145.01054494128329"
46458,3230,"-37.6877978386815, 145.0125769421285"
46475,4296,"-37.74216084217791, 145.04782092944666"
46476,4297,"-37.74321084246502, 145.05859092757123"
46483,3199,"-37.92526884609092, 145.0927049015975"
46484,3200,"-37.94035584766863, 145.11678289615847"
46493,3100,"-37.93727084179617, 145.02389791317148"
46507,739,"-38.103437849939915, 145.12844287640215"
46508,740,"-38.12165584992199, 145.1350748728603"
46510,744,"-38.156325852815485, 145.17068186317357"
46519,758,"-38.22358585344706, 145.17540385429587"
46528,2609,"-37.77908882856957, 144.84720496090816"
46552,1014,"-37.77416783217102, 144.90865595029882"
46556,4091,"-37.88688584118708, 145.02197491794797"
46557,4092,"-37.887752841600026, 145.02879491692923"
46561,4096,"-37.872211840548374, 145.0211029204334"
46570,4105,"-37.86371484003778, 145.00988092336746"
46613,385,"-37.876110860383164, 145.29946687188382"
46644,4114,"-37.73227983512057, 144.94580494803907"
46656,4066,"-37.818306844829, 145.08030591581547"
46670,635,"-37.800942857575414, 145.27401988392745"
